FCSUBTYPE,FCSUBTYPE_desc,STYLE_NAME,FULL_NAME,DATEFEATURECREATED,DATEFEATUREMODIFIED,ACCESSLEVEL,METADATAID,FEATURETEXT,NAMEID,GLOBALID,BUILDINGTYPE,BUILDINGTYPE_desc,HEIGHT,CAPTUREMETHOD,CAPTUREMETHOD_desc,DATASOURCE,DATASOURCE_desc,PLANACCURACY,SPATIALRELIABILITYDATE,ATTRIBUTERELIABILITYDATE,TARGETDISPLAYSCALE,TARGETDISPLAYSCALE_desc,DATACUSTODIAN,DATACUSTODIAN_desc,gx_id
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B5577A-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1520
-98,,BuildingPolygon,,16/02/2007,28/11/2014,0,101917,,-98,{E9B55F68-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,10,03/08/2014,03/08/2014,20000,1:20000,3,LANDGATE,1521
-98,,BuildingPolygon,,16/02/2007,,0,453,,-98,{E9B56A76-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,1,DirectPhotogrammetricCapture,3,1:25000TopographicSeriesByLANDGATE,6.7,13/12/1989,13/12/1989,25000,1:25000,3,LANDGATE,1522
-98,,BuildingPolygon,,16/02/2007,01/08/2013,0,101491,,-98,{E9B57250-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1523
-98,,BuildingPolygon,,16/02/2007,06/06/2013,0,101491,,-98,{E9B57D5E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,02/01/2013,02/01/2013,20000,1:20000,3,LANDGATE,1524
-98,,BuildingPolygon,,16/02/2007,09/10/2008,0,100107,,-98,{E9B58524-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,11/01/2008,11/01/2008,20000,1:20000,3,LANDGATE,1525
-98,,BuildingPolygon,,16/02/2007,26/09/2012,0,101352,,-98,{E9B6414E-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,09/01/2012,09/01/2012,25000,1:25000,3,LANDGATE,1526
-98,,BuildingPolygon,,16/02/2007,26/09/2012,0,101352,,-98,{E9B64B94-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,09/01/2012,09/01/2012,25000,1:25000,3,LANDGATE,1527
-98,,BuildingPolygon,,16/02/2007,04/08/2009,0,909,,-98,{E9B65418-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,12,CitiesAndTownsSeriesByLANDGATE,6.7,01/01/2009,01/01/2009,20000,1:20000,3,LANDGATE,1528
-98,,BuildingPolygon,,16/02/2007,26/09/2012,0,101352,,-98,{E9B65E7C-28DA-11DF-B0B6-001E0B884B88},-99,Unknown,-99,3,OnScreenDigitising,26,OrthoImagery,6.7,09/01/2012,09/01/2012,25000,1:25000,3,LANDGATE,1529
