Lat,Lon,Elev.(meters)
-33.13,116.16,327.000
-32.77,115.1,-32768.000
-33.22,116.96,299.000
-33.07,116.76,309.000
-31.15,115.98,175.000
-31.45,115.92,75.000
-32.98,116.16,391.000
-33.85,116.8,271.000
-31.96,115.26,-32768.000
-32.89,116.18,250.000
-32.95,115.34,-32768.000
-31.84,115.66,-32768.000
-32.29,115.48,-32768.000
-31.03,115.8,184.000
-31.45,115.32,-32768.000
-31.78,116.06,82.000
-32.26,115.28,-32768.000
-33.64,115.3,-32768.000
-33.91,116.7,258.000
-33.01,115.86,20.000
-31.3,116.98,266.000
-32.32,115.36,-32768.000
-33.79,115.46,124.000
-32.89,116.24,306.000
-33.4,116.52,288.000
-31.21,116.5,282.000
-33.76,116.12,242.000
-31.6,116.28,245.000
-33.88,116.3,250.000
-31.54,116.56,263.000
-33.07,116.78,260.000
-33.91,116.12,253.000
-31.87,116.78,196.000
-31.78,115.3,-32768.000
-32.23,116.48,312.000
-31.84,115.12,-32768.000
-33.28,115.96,214.000
-31.84,115.56,-32768.000
-31.27,115.64,84.000
-33.76,115.16,69.000
-31.48,115.22,-32768.000
-31.96,115.02,-32768.000
-32.05,116.84,206.000
-32.29,115.94,15.000
-33.25,116.4,288.000
-32.26,115.76,9.000
-31.15,116.12,237.000
-32.65,116.24,268.000
-31.69,116.3,327.000
-32.83,115.38,-32768.000
-33.22,115.72,22.000
-31.48,115.22,-32768.000
-32.8,116.02,267.000
-31.51,116.1,249.000
-32.08,115.62,-32768.000
-32.74,116.84,290.000
-31.21,115.94,223.000
-32.83,115.18,-32768.000
-32.29,116.16,281.000
-33.19,116.92,299.000
-32.98,116.66,323.000
-32.83,116.72,343.000
-32.59,115.56,-32768.000
-31.18,116.7,218.000
-33.91,115.48,159.000
-32.2,115.66,-32768.000
-32.65,115.58,-32768.000
-31.6,115.86,71.000
-31.03,116.7,237.000
-33.52,116.26,253.000
-32.38,116.24,359.000
-33.73,116.16,277.000
-31.96,115.92,15.000
-33.88,115.98,186.000
-32.68,115.5,-32768.000
-33.79,115.62,135.000
-33.52,116.58,317.000
-33.79,115.92,310.000
-33.07,116.28,324.000
-31.36,115.02,-32768.000
-32.98,115.68,8.000
-32.11,115.96,25.000
-31.24,116.6,242.000
-32.08,115.86,30.000
-33.85,116.8,271.000
-32.44,116.6,346.000
-32.86,116.2,335.000
-33.82,116.24,266.000
-33.7,115.12,50.000
-33.07,115.2,-32768.000
-32.77,116.1,145.000
-33.01,115.76,43.000
-31.45,116.16,197.000
-33.34,115.82,49.000
-32.74,115.3,-32768.000
-32.5,115.18,-32768.000
-32.26,116.54,295.000
-32.32,115.26,-32768.000
-32.32,115.98,33.000
-32.86,115.4,-32768.000
-34,116.24,169.000
-33.37,116.82,252.000
-32.44,115.76,11.000
-32.68,115.54,-32768.000
-32.86,116.24,370.000
-33.52,116.52,272.000
-33.58,116.58,276.000
-32.89,116,321.000
-31.27,116.98,269.000
-33.58,116.18,211.000
-31.93,115.64,-32768.000
-33.73,116.28,295.000
-31.69,115.52,-32768.000
-31.75,116.3,240.000
-31.45,115.66,60.000
-31.15,115.26,-32768.000
-33.91,116.7,258.000
-33.31,115.3,-32768.000
-32.71,116.1,262.000
-33.49,116.36,254.000
-32.71,116.62,401.000
-32.2,115.66,-32768.000
-31.48,116.14,244.000
-32.32,116.94,243.000
-32.32,116.48,290.000
-33.82,116.42,204.000
-32.95,115.48,-32768.000
-32.47,115.3,-32768.000
-31.57,115.24,-32768.000
-32.65,115.5,-32768.000
-32.83,116.3,338.000
-32.5,115.78,7.000
-32.35,115.84,2.000
-31.06,116.46,259.000
-32.8,116.98,329.000
-31.63,115.28,-32768.000
-32.56,116.68,412.000
-32.77,115.78,8.000
-32.95,115.62,-32768.000
-33.85,116.94,326.000
-31.96,116.84,190.000
-33.55,115.24,-32768.000
-33.19,115.04,-32768.000
-33.58,116.34,229.000
-31.24,115.16,-32768.000
-31.81,116.2,295.000
-31,115.6,79.000
-31.81,115.46,-32768.000
-31.09,116.1,250.000
-32.41,116.4,332.000
-31.48,115.72,64.000
-33.4,115.64,26.000
-31.87,115.64,-32768.000
-32.11,116.22,326.000
-32.26,115.12,-32768.000
-31.06,116.36,235.000
-31.57,115.5,-32768.000
-33.16,115.26,-32768.000
-31.6,115.14,-32768.000
-33.52,115.86,185.000
-33.94,116.44,235.000
-33.97,116.8,306.000
-33.64,115.02,-32768.000
-32.32,116.5,337.000
-32.68,115.16,-32768.000
-32.65,115.18,-32768.000
-32.77,115.56,-32768.000
-32.2,116.3,286.000
-33.22,115.22,-32768.000
-33.46,115.44,-32768.000
-31.27,116.7,239.000
-33.7,115.3,9.000
-33.16,116.42,371.000
-31.63,115.76,84.000
